docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
uc2.ark+=13960=t4nk3bw6g,1869,1869,1869,reviewed,7690643,13342940,"Michell, Nicholas,",London;Chapman;1869.,,Sibyl of Cornwall,rev,,,1869,ATL,1807,m,uk,,,
uc2.ark+=13960=t06w9c11h,1869,1869,1869,reviewed,1019969,2717531,"Garnett, Richard,",London;Macmillan and co.;1869.,,Idylls and epigrams,rev,pos,,1869,FR,1835,m,uk,,,
uc2.ark+=13960=t76t0hr98,1869,1869,1869,reviewed,8657053,1871564,"Stedman, Edmund Clarence,","Boston;Fields, Osgood, & co.;1869.",,The blameless prince,rev,,,1869,ATL,1833,m,us,,,
mdp.39015051363565,1869,1869,1869,reviewed,585409,1376512,"Browning, Robert,","Boston;Fields, Osgood, & co.;1869.",v.1,The ring and the book,rev,,,1869,FR,1812,m,uk,,,y
uc2.ark+=13960=t9959d062,1869,1869,1869,reviewed,7666094,1953983,"Lowell, James Russell,",London;Macmillan and Co.;1869.,,Under the willows,rev,pos,,1869,FR,1819,m,us,,,y
mdp.39015004731116,1869,1869,1869,reviewed,585409,1376512,"Browning, Robert,","Boston;Fields, Osgood, & co.;1869.",v.2,The ring and the book,rev,,,1869,FR,1812,m,uk,,,y
nyp.33433076040298,1869,1869,1869,reviewed,8655517,1007050,"Abbey, Henry,",New York;A. D. F. Randolph & Co.;1869.,,Stories in verse,rev,,,1869,ATL,1842,m,us,,,
uc2.ark+=13960=t0vq2xh3w,1869,1869,1869,random,7691777,,"Ranking, Boyd Montgomerie Maurice,",London;Hotten;1869.,,Poems,,,,,,1841,m,uk,,,
uc2.ark+=13960=t3hx15z6g,1869,1869,1869,random,7675664,,"Watson, J. W.",Philadelphia;Turner Brothers & Co.;1869,,Beautiful snow,,,,,,1824,m,us,,,
nyp.33433074866819,1871,1871,1869,random,8662583,,"Bickersteth, Edward Henry,",New York;Robert Carter;1871.,,"Yesterday, to-day, and for ever",,,,,,1825,m,uk,,,
uc2.ark+=13960=t9v121d4v,1869,1869,1869,random,7687707,,"Ethelburga, O. S. B.",London;Witt;1869?,,"In coelo quies, and other poems",,,,,,,,,,,
uc2.ark+=13960=t7gq6s57q,1869,1869,1869,random,9261121,,"Krause, William E. F.",San Francisco;J. Winterburn & Co.;1869.,,The sanctity of marriage,,,,,,,m,us,,,
nnc1.cr60018283,1869,1869,1869,random,8414873,,"Jones, Darius E.",Cincinnati;Church and Co.;1869.,,Songs for the new life ;,,,,,,1815,m,us,,,
nyp.33433066625637,1869,1869,1869,random,,,"Peffer, William Alfred,","Clarksville, Tenn.;Buck & Neville;1869.",,Myriorama,,,,,,1831,m,us,,,
loc.ark+=13960=t0tq6gq3d,1868,1868,1868,reviewed,8889221,3009632,"Larcom, Lucy,","Boston, Mass.;Fields, Osgood & Co.;1869, c1868.",,Poems,rev,,,1868,ATL,1824,f,us,,,
njp.32101068176328,1868,1868,1868,reviewed,8969013,3440197,"Cary, Alice,",Boston;Ticknor & Fields;1868.,,A lover's diary,pub,,,1867,ATL,1820,f,us,,,
mdp.39015048398518,1868,1868,1868,reviewed,907691,2486355,"Newman, John Henry,","London;Burns, Oates;1868.",,Verses on various occasions,rev,,,1870,BM,1801,m,uk,,,y
nyp.33433074819172,1868,1868,1868,reviewed,8656844,10339406,"Wright, William Bull,",Boston;Adams & Company;1868.,,Highland rambles: a poem,rev,,,1868,ATL,1840,m,us,,,
loc.ark+=13960=t00z7rp24,1868,1868,1868,random,9592260,,,San Francisco;C. P. Kimball [etc.;1868,,The San Francisco fairy,,,,,,,,,,,
uc2.ark+=13960=t9f47r02d,1868,1868,1868,random,7687303,,"Earle, John Charles,","London;Burns, Oates;1868.",,Maximilian,,,,,,1850,m,uk,,,
loc.ark+=13960=t20c5r23g,1868,1868,1868,random,9560933,,"Palmer, James Croxall,",New York;D. Van Nostrand;1868.,,Antarctic mariner's song,,,,,,1811,m,us,,,
wu.89099755217,1867,1867,1867,reviewed,9182552,45498701,"Holland, J. G.",N.Y.;Charles Scribner & Co.;1867.,,Kathrina,rev,,,1867,ATL,1819,m,us,,,
uc1.b155380,1867,1867,1867,reviewed,6634084,1357599,"Arnold, George,",Boston;Ticknor and Fields;1867.,,Poems grave and gay,rev,,,1867,WR,1834,m,us,,,
dul1.ark+=13960=t75t4h116,1867,1867,1867,reviewed,7506105,2657446,"Arnold, Matthew,",London;Macmillan and Co.;1867.,,New poems,rev,pos,,1867,FR,1822,m,uk,,,y
loc.ark+=13960=t8cg05x2c,1867,1867,1867,reviewed,9583025,20717720,"Calvert, George Henry,",New York;G.W. Carleton & Co.;1867.,,Ellen: a poem for the times,rev,pos,,1869,ATL,1803,m,us,,,
nyp.33433075741730,1867,1867,1867,reviewed,8658041,2795560,"Taylor, Bayard,",Boston;Ticknor and Fields;1867.,,The picture of St. John,rev,,,1867,FR,1825,m,us,,,
loc.ark+=13960=t6m046h55,1867,1867,1867,random,9595275,,"[Cameron, Hugh]",Washington;1867,,The troublesome trio,,,,,,,,,,genre unclear,
loc.ark+=13960=t3320dh5b,1867,1867,1867,random,9589213,,"[D'Arusmont, William E. Guthrie] [from old catalog]",Philadelphia;J.A. Bancroft and co.;1867.,,The betrothed,,,,,,,,,,,
nyp.33433075809081,1867,1867,1867,random,7665283,,"MacEuen, Malcolm.",Philadelphia;Mason & Co.;1867.,,A mosaic from Italy,,,,,,1833,m,us,,birthdate estimated,
nyp.33433076020795,1867,1867,1867,random,1907997,,"Wentworth, May.",San Francisco.;Pacific publishing co.;1867.,,Poetry of the Pacific,,,,,,,,,,"anthology, but allowed since authors recent and all obscure",
loc.ark+=13960=t6zw1zm9g,1867,1867,1867,random,9605328,,"Cox, Sandford C.",Cincinnati;The author;1867.,,"The evangelist, and other poems",,,,,,1811,m,us,,,
uc2.ark+=13960=t40r9pj9p,1867,1867,1867,random,,,"Sawers, Eliza.",Edinburgh;J. Maclaren;1867.,,Under a cloud,,,,,,,f,uk,,,
uc1.b166111,1866,1866,1866,reviewed,6641605,5318058,"Coloney, Myron.",St. Louis;The Author;1866.,,Manomin,rev,,,1867,ATL,,,,,obscure,
uc2.ark+=13960=t6qz27440,1866,1866,1866,reviewed,7686360,13277132,"Butchers, S. M.",London;TrÌ_bner;1866.,,A waif on the stream,rev,pos,,1866,WR,,,,,obscure,
uc2.ark+=13960=t4vh5j76c,1866,1866,1866,reviewed,6611551,3917309,"Plumptre, E. H.",London;New York;A. Strahan;1866.,,"Master and scholar, etc., etc",rev,,,1866,WR,1821,m,uk,,,
uc1.b158350,1866,1866,1866,reviewed,284506,2956307,"Buchanan, Robert Williams,",London;New York;A. Strahan;1866.,,London poems,pub,,,1866,FR,1841,m,uk,,,
uc2.ark+=13960=t21c1v39v,1867,1867,1866,reviewed,631055,1213506,"Longfellow, Henry Wadsworth,",Boston;Ticknor and Fields;1867.,,Flower-de-luce,rev,,,1866,ATL,1807,m,us,,,y
uc2.ark+=13960=t1ng4vw28,1907,1907,1866,reviewed,7707841,364852397,"Stigand, William,",London;Kegan Paul;1907.,,Anthea,rev,neg,,1866,WR,1825,m,uk,,,
uc1.b166949,1866,1866,1866,reviewed,3145507,4254761,"Rossetti, Christina Georgina,",London;Macmillan and co.;1866.,,The prince's progress and other poems,rev,pos,,1866,WR,1830,f,uk,,,y
loc.ark+=13960=t3320jj4z,1866,1866,1866,reviewed,9592711,16925719,"Clark, Annie E.",Philadelphia;J.B. Lippincott & Co.;1866.,,Poems,rev,,,1866,ATL,,,,,obscure,
uc2.ark+=13960=t2k64b16p,1866,1866,1866,reviewed,7645903,3079144,"Janvier, Francis De Haes,",Philadelphia;J. B. Lippincott & Co.;1866.,,Patriotic poems,rev,,,1866,ATL,1817,m,us,,,
uc1.b166356,1866,1866,1866,random,6641760,,"Leighton, Robert,",Liverpool;E. Howell;1866.,,Poems,,,,,,1822,m,uk,,,
loc.ark+=13960=t7qn6kz4k,1866,1866,1866,random,9595246,,"Crider, Henry M.,","York, Pa.;Kephart & Crider;1866.",,Pedagogics,,,,,,1839,m,us,,,
loc.ark+=13960=t8ff4k852,1866,1866,1866,random,9608866,,"Westlake, J. Willis",Philadelphia;J.B. Lippincott & co.;1866.,,Success,,,,,,1830,m,us,,,
loc.ark+=13960=t5r78vm8q,1866,1866,1866,random,9558176,,"Almy, Annie Whittier.",Boston;Printed for the author;1866;(Boston;John M. Hewes),,Early poems,,,,,,,,,,anthology,
mdp.39015063980414,1866,1866,1866,random,5238528,,"Henry, James,",Dresden;Printed by C.C. Meinhold & Sons;1866.,,Poematia,,,,,,1798,m,uk,,,
loc.ark+=13960=t78s5649n,1866,1866,1866,random,9559921,,"Fulkerson, A.,","Louisville [Ky.;Hanna & Duncan, printers;1866.",,Miscellanies of Fulkerson,,,,,,1821,m,us,,,
loc.ark+=13960=t9184308z,1866,1866,1866,random,7688670,,"Hodson, Joseph.","Westerville, Ohio;W. G. Foster, Printer;1866.",,Miscellaneous poems,,,,,,,m,us,,,
uc2.ark+=13960=t1kh0h70v,1866,1866,1866,random,6634128,,A.,Louth;J. and T. Jackson;1866.,,"The starling of the spire; or, A bird's eye view of the church as it was",,,,,,,,,,,
emilydickinson,1866,1866,1866,addcanon,,,"Dickinson, Emily",,,Poems,,,,,,1830,f,us,,,y
njp.32101068170776,1865,1865,1865,reviewed,8968576,15137351,"Howe, Julia Ward,","Boston;Lee and Shepard, publishers ...;1887, c1865.",,Later lyrics,pub,,,1862,ATL,1819,f,us,,,
uc2.ark+=13960=t9280b957,1865,1865,1865,reviewed,7691688,13305842,"Prideaux, Fanny Ann.",London;Smith;1865.,,Claudia,rev,,,1865,WR,,,,,obscure,
uc2.ark+=13960=t4bp02m37,1865,1865,1865,reviewed,7685789,1808332,"Buchanan, Robert Williams,",London;A. Strahan;1865.,,Idyls and legends of Inverburn,rev,pos,,1865,FR,1841,m,uk,,,
uc2.ark+=13960=t9q23x35j,1865,1865,1865,reviewed,7686471,13313707,"Capern, Edward,",London;Low;1865.,,Wayside warbles,rev,,,1865,FR,1819,m,uk,,,
uc2.ark+=13960=t05x2bh3q,1865,1865,1865,random,7693665,,,King's Lynn;Thew;1865.,,Wermigey; or The weir amid the water,,,,,,,,,,obscure,
njp.32101032484253,1865,1865,1865,random,8888156,,"Birdseye, George W.,","New York;J. Dickson, Book and Job Printer;1865.",,Woman and the war,,,,,,1844,m,us,,,
loc.ark+=13960=t6349841r,1864,1864,1864,reviewed,9576760,30440917,"Tuckerman, Frederick Goddard,",Boston;Ticknor and Fields;1864.,,Poems,rev,,elite,1864,ATL,1821,m,us,,,
njp.32101067646750,1864,1864,1864,reviewed,8962019,8625949,"Hooper, Lucy Hamilton,",Philadelphia;Leypoldt;1864.,,Poems;,rev,,,1871,ATL,1835,f,us,,,
uc1.$b389270,1864,1864,1864,random,7693607,,"Warren, John Byrne Leicester,",London;Macmillan;1864.,,"Eclogues and monodramas; or, A collection of verses",,,,,,1835,m,uk,,,
loc.ark+=13960=t1kh1508t,1865,1865,1864,random,9608003,,"Halleck, Fitz-Greene,",New York;D. Appleton and company;1865.,,Young America,,,,,,1790,m,us,,,
nyp.33433074931332,1864,1864,1864,random,8663537,,"Taylor, Henry,",London;Chapman and Hall;1864.,v. 3,The poetical works,,,,,,1800,m,uk,,,
nyp.33433075835557,1869,1869,1864,random,5974546,,"Halpine, Charles G.",New York;Harper & Brothers;1869.,,Poetical works of Charles G. Halpine (Miles O'Reilly),,,,,,1829,m,us,,,
uc2.ark+=13960=t58d04x2h,1863,1863,1863,reviewed,1421455,2869829,"Aldrich, Thomas Bailey,","New York;Carleton; [etc., etc.;1863.",,Poems,rev,,,1867,FR,1836,m,us,,,
loc.ark+=13960=t0zp4md92,1863,1863,1863,random,7921813,,"Peterson, Henry,",Philadelphia;J.B. Lippincott & Co.;1863.,,Poems,,,,,,1818,m,us,,,
uc2.ark+=13960=t35140902,1863,1863,1863,random,7693334,,"Vaughan, Thomas,",Hereford;Printed by E. Weymss;1863.,,"Morah; or, The Indian wife;",,,,,,,m,uk,,,
uc2.ark+=13960=t1xd0tj53,1863,1863,1863,random,6511775,,"Shipley, Orby,","London;Longman, Green, Longman, Roberts, and Green;1863.",,Lyra eucharistica,,,,,,1832,m,uk,,,
njp.32101068972841,1863,1863,1863,random,8975917,,"Law, Isabella.","London;Smith, Elder;1863.",,Winter weavings,,,,,,,f,uk,,,
loc.ark+=13960=t24b3nc5c,1862,1862,1862,reviewed,5908763,4278497,L,New York;Carleton;1862.,,"Sybelle, and other poems",rev,pos,,1863,WR,,,,,obscure,
njp.32101067004570,1862,1862,1862,reviewed,8955882,2602074,"Wingate, David,",Edinburgh;W. Blackwood;1862.,,Poems and songs,rev,pos,,1862,BM,1828,m,uk,,,
njp.32101025285659,1862,1862,1862,reviewed,8887133,4727590,"Clough, Arthur Hugh,",Boston;Ticknor and Fields;1862.,,Poems,rev,,,1862,BM,1819,m,uk,,,
loc.ark+=13960=t7jq1gj08,1862,1862,1862,random,9559402,,"Hewes, George Whitfield.",New York;Carleton;1862.,,Ballads of the war,,,,,,1835,m,us,,estimated birth,
njp.32101051388039,1862,1862,1862,random,8899308,,"Fotherby, Marie J. E.","London;A. Hall, Virtue & Co.;1862.",,Poems,,,,,,1831,f,uk,,,
njp.32101067300184,1862,1862,1862,random,8957309,,"Park, Andrew,",Glasgow;T. Murray;1862.,,The world,,,,,,1807,m,uk,,,
mdp.39015014601184,1867,1867,1862,random,1372970,,"Heywood, J. C.",New York;Hurd and Houghton;1867.,,Herodias,,,,,,,m,us,,,
uc2.ark+=13960=t0tq5tm1v,1862,1862,1862,random,6641729,,"Kinloch, William Penney,",Edinburgh;Edmonston and Douglas;1862.,,Time's treasure;,,,,,,1801,m,uk,,,
loc.ark+=13960=t5r78t92c,1862,1862,1862,random,9589270,,"Elder, William. [from old catalog]",Boston;The author;1862.,,Leisure moments;,,,,,,,m,us,,,
mdp.39015019808495,1892,1862,1862,reviewed,633980,3299029,"Meredith, George,",London;New York;Macmillan;1892.,,Modern Love,rev,,,1862,WR,1828,m,uk,,,y
mdp.39015030050648,1875,1875,1862,reviewed,,,"Rossetti, Christina Georgina,",London;Macmillan and co.;1875.,,Goblin market and other poems,rev,pos,,1866,WR,1830,f,uk,,,y
uc1.b3556169,1862,1862,1861,reviewed,1423587,13221080,"Norton, Caroline Sheridan,",Cambridge;London;Macmillan & co.;1862.,,The lady of La Garave,rev,pos,,1862,WR,1808,f,uk,,,
uc2.ark+=13960=t4cn74b90,1861,1861,1861,reviewed,7690524,10415906,"Maunsell, George Edmond.","London;Smith, Elder and Co.;1861.",,Poems,rev,neg,,1861,WR,1816,m,uk,,,
njp.32101041423706,1861,1861,1861,reviewed,8889876,16810766,"Atherstone, Edwin,","London;Longman, Green, Longman, and Roberts;1861.",,Israel in Egypt,rev,,,1862,WR,1788,m,uk,,,
uc2.ark+=13960=t6639r26n,1861,1861,1861,reviewed,7687235,2495938,"De Vere, Aubrey,","London;Longman, Green, Longman and Roberts;1861.",,The sisters,rev,pos,elite,1862,ATL,1814,m,uk,,,
uc1.b274909,1867,1867,1861,reviewed,6518328,4186986,"Greenwell, Dora,",London;Alexander Strahan;1867.,,Poems,rev,,,1861,WR,1821,f,uk,,,
dul1.ark+=13960=t84j19z0d,1861,1861,1861,random,10943014,,"Mangum, A. W.",Raleigh? N.C.;s.n.;between 1861 and 1865].,,The holy shield,,,,,,1834,m,us,,,
loc.ark+=13960=t5w671s6k,1861,1861,1861,random,6518348,,"Jones, Amanda Theodocia,",Buffalo;H. H. Otis [etc.;1861.,,"Ulah, and other poems",,,,,,1835,f,us,,,
uc2.ark+=13960=fk23b5wf3t,1860,1860,1860,reviewed,6518285,4645136,"Craik, Dinah Maria Mulock,",Boston;Ticknor and Fields;1860.,,Poems,rev,,,1860,ATL,1826,f,uk,,,
uc2.ark+=13960=t3dz0f69d,1860,1860,1860,reviewed,5261368,2946939,"Whittier, John Greenleaf,",Boston;Ticknor and Fields;1860.,,Home ballads and poems,rev,pos,,1860,ATL,1807,m,us,,,y
uc2.ark+=13960=t80k2ck75,1860,1860,1860,reviewed,7690352,13316750,"Mackay, Charles,","London;Smith, Elder and Co.;1860.",,A man's heart,rev,neg,pop,1860,WR,1814,m,uk,,,
uc1.b3315106,1860,1860,1860,reviewed,6130693,23168253,"Saxe, John Godfrey,",Boston;Ticknor and Fields;1860.,,The money-king,rev,pos,,1860,ATL,1816,m,us,,,
uc1.b274679,1860,1860,1860,reviewed,6518140,1626082,"Lowell, Robert,",Boston;Ticknor and Fields;1860.,,Fresh hearts that failed three thousand years ago,rev,,,1860,ATL,1816,m,us,,,
loc.ark+=13960=t3qv42x82,1860,1860,1860,reviewed,123714,3960344,"Dobell, Sydney,",Boston;Ticknor and Fields;1860.,,Poems,rev,,,1860,ATL,1824,m,uk,,,
uc2.ark+=13960=t3kw57x2q,1860,1860,1860,reviewed,1027102,237644,"Bryant, William Cullen,",New York;W.A. Townsend;c1860,,A forest hymn,rev,pos,,1860,ATL,1794,m,us,,,y
nyp.33433074962709,1860,1860,1860,random,8658427,,"Valentine, Mann Satterwhite,","Richmond, Va.;J. W. Randolph;1860.",,The mock auction,,,,,,1824,m,us,,,
loc.ark+=13960=t7sn0q200,1860,1860,1860,random,9566453,,"Chapman, George Walton,",New York;Rudd & Carleton;1860.,,A tribute to Kane,,,,,,1812,m,us,,,
njp.32101066457365,1860,1860,1860,random,8928028,,"Collins, Mortimer,","London;Saunders, Otley;1860.",,Summer songs,,,,,,1827,m,uk,,,
loc.ark+=13960=t2w38b121,1860,1860,1860,random,9562224,,"Coutts, W. G. [from old catalog]",New York;The author;1860.,,The games,,,,,,,,,,,
njp.32101067632792,1860,1860,1860,random,7657081,,"Donaldson, Samuel J.,",Philadelphia;Lindsay & Blakiston;1860.,,Lyrics,,,,,,1835,m,us,,,
wu.89099921512,1860,1860,1860,random,8998599,,"Drake, Joseph Rodman,",New York;The Bradford Club;1860.,,The croakers,,,,,,1795,m,us,,,
loc.ark+=13960=t19k4z26m,1860,1860,1860,random,9575312,,"Willis, Nathaniel Parker,","New York;Clark, Austin & Smith;1860.",,"The poems, sacred, passionate, and humorous, of Nathaniel Parker WIllis",,,,,,1806,m,us,,Well-known,
mdp.39015065423868,1860,1860,1860,random,5263845,,"Newman, John B.",New York;Rudd & Carleton;1860.,,Wa-Wa-Wanda,,,,,,,m,us,,,
mdp.39015063880127,1860,1860,1859,reviewed,434297,2928822,"Hayne, Paul Hamilton,",Boston;Ticknor & Fields;1860.,,Avolio;,rev,,,1860,ATL,1830,m,us,,,
loc.ark+=13960=t72v3f90h,1860,1860,1859,random,11206601,,"Russel, Charles Porter,","Columbia, S.C.;Press of C.P. Pelham;1860.",,In tenebris,,,,,,,m,us,,,
loc.ark+=13960=t7dr3ch6b,1861,1861,1859,random,9593563,,"[Hoyt, Ralph],",New York;A. D. F. Randolph;1861.,,Echoes of memory and emotion,,,,,,1806,m,us,,,
loc.ark+=13960=t1fj32s97,1859,1859,1859,random,9589787,,"Carhart, John Wesley,",New-York;Pudney & Russell printers;1859.,,Sunny hours,,,,,,1834,m,us,,,
nyp.33433074849005,1859,1859,1859,random,7687353,,"Farrar, F. W.",Cambridge;Macmillan;1859.,,Lyrics of life,,,,,,1831,m,uk,,,
uc2.ark+=13960=t8x927004,1859,1859,1859,random,7685611,,"Beer, John T.",Leeds;Briggate;1859.,,Miscellaneous poems,,,,,,,m,uk,,,
uc2.ark+=13960=t4gm86m20,1889,1859,1859,reviewed,7688880,13365552,"Hedderwick, James,",Edinburgh;London;Blackwood;1889.,,Lays of Middle Age,rev,,,1859,WR,1814,m,uk,,,
uc1.b4104728,1859,1859,1859,reviewed,1427309,3556273,"Tennyson, Alfred Tennyson,",Boston;Ticknor and Fields;1859.,,Idyls of the King,rev,pos,,1859,WR,1809,m,uk,,,y
loc.ark+=13960=t20c5hr60,1858,1858,1858,random,9569211,,"Cotton, Alfred Jackson,",Cincinnati;Pub. for the author by Applegate & co.;1858.,,Cotton's keepsake,,,,,,1800,m,us,,,
uc2.ark+=13960=t4kk99f3f,1858,1858,1858,reviewed,1422215,1394762,"Kingsley, Charles,",London;J. W. Parker and son;1858.,,Andromeda and other poems,rev,,,1858,WR,1819,m,uk,,,y
uc2.ark+=13960=t9v12890g,1862,1862,1857,reviewed,7700846,790654,"Locker-Lampson, Frederick,",London;B. M. Pickering;1862.,,London lyrics,rev,,,1870,ATL,1821,m,uk,,,
mdp.39015059390164,1880,1880,1857,reviewed,115769,3069063,"Blackie, John Stuart,",Edinburgh;London;W. Blackwood and sons;1880.,,Lays and Legends of Ancient Greece,rev,pos,,1857,WR,1809,m,uk,,,
uc1.b182439,1856,1856,1856,reviewed,950209,11405839,"Dobell, Sydney,","London;Smith, Elder;1856.",,England in time of war,rev,neg,,1856,ER,1824,m,uk,,,
njp.32101066456896,1856,1856,1856,reviewed,8928000,13392077,"Clive, Caroline,",London;Saunders;1856.,,Poems,rev,,,1856,ER,1801,f,uk,,,
nyp.33433004008284,1856,1856,1856,random,8590320,,"Prime, Samuel Irenæus",New-York;Anson D. F. Randolph;1856.,,The smitten household,,,,,,1812,m,us ,,,
loc.ark+=13960=t9377zq1r,1856,1856,1856,random,9572374,,"Woodward, David.",Boston;J. M. Hewes;1856.,,Slavery;,,,,,,,m,us,,,
mdp.39015060438739,1856,1856,1856,random,437987,,"Hiller, O. Prescott",London;1856.,,The pleasures of religion and other poems,,,,,,1814,m,uk,,,
njp.32101051387882,1856,1856,1856,random,8899297,,"Charlesworth, E. G.",London;Messrs. Whittaker;1856.,,Poems,,,,,,,,uk,,,
njp.32101067628436,1856,1856,1856,reviewed,8961146,2812874,"Aytoun, William Edmondstoune,",Edinburgh;W. Blackwood;1856.,,Bothwell,rev, ,,1851,WR,1813,m,uk,,,
mdp.49015002077973,1882,1882,1855,reviewed,4550565,123191189,"Whitman, Walt,","Philadelphia, Penn.;Rees Welsh;1882.",,Leaves of grass,rev,neg,pop,1860,WR,1819,m,us,,,y
uc2.ark+=13960=t6736rz12,1860,1860,1855,reviewed,6058010,3215853,"Allingham, William,",London;Bell and Daldy;1860.,,Day and night songs; and The music-master,rev,pos,,1856,ER,1824,m,uk,,,
uc1.b167500,1855,1855,1855,reviewed,6642455,1988592,"Bailey, Philip James,",London;Chapman and Hall;1855.,,The mystic and other poems,rev,,,1856,ER,1816,m,uk,,,
uc1.b165960,1855,1855,1855,reviewed,6641490,4771855,"Lytton, Edward Robert Bulwer Lytton,",London;Chapman and Hall;1855.,,Clytemnestra ; The earl's return ; The artist ; and other poems,rev,,,1856,ER,1831,m,uk,,,
dul1.ark+=13960=t5fb5xg2z,1855,1855,1855,reviewed,10942421,3466253,"Arnold, Matthew,","London;Longman, Brown, Green, and Longmans;1855.",,Poems,rev,,,1856,ER,1822,m,uk,,,y
loc.ark+=13960=t84j0zq4p,1855,1855,1855,random,9609062,,"Clark, George Hunt,",Hartford;F. A. Brown;1855.,,Now and then,,,,,,1809,m,us,,,
loc.ark+=13960=t4xh06r18,1855,1855,1855,random,1028076,,"Winter, William,",Boston;G. W. Briggs & co.;1855.,,Poems,,,,,,1836,m,us,,Well-known,
loc.ark+=13960=t0ft95k82,1855,1855,1855,random,9578172,,"Stillman, George A.","New York;J. C. Derby;Boston;Phillips, Sampson & Co.; [etc., etc.;1855.",,Life-real,,,,,,,m,us,,,
nnc1.50196709,1855,1855,1855,reviewed,8408427,,"Boner, Charles,",London;Chapman and Hall;1855.,,Cain,rev,,,1855,WR,1815,m,uk,,,
loc.ark+=13960=t5p84vh35,1856,1856,1855,reviewed,9585316,,"Longfellow, Henry Wadsworth,",Boston;Ticknor and Fields;1856.,,The song of Hiawatha,rev,,,1856,GrM,1807,m,us,,,y
loc.ark+=13960=t5k93s006,1868,1868,1854,random,7649748,,"Taylor, Benjamin Franklin,",New York;Oakley and Mason;1868.,,January and June,,,,,,1819,m,us,,,
uc2.ark+=13960=t16m34j1k,1863,1863,1854,reviewed,7691475,5453617,"Patmore, Coventry Kersey Dighton,",London;Macmillan & co.;1863.,v.2,The angel in the house,rev,pos,,1858,ER,1823,m,uk,,,
uc2.ark+=13960=t1xd0s923,1863,1863,1854,reviewed,7691475,5453617,"Patmore, Coventry Kersey Dighton,",London;Macmillan & co.;1863.,v.1,The angel in the house,rev,pos,,1858,ER,1823,m,uk,,,
uc1.b165933,1854,1854,1854,reviewed,6641467,1876225,"Massey, Gerald,",London;D. Bogue;1854.,,The ballad of Babe Christabel,rev,,,1856,ER,1828,m,uk,,,
loc.ark+=13960=t5q81tq24,1854,1854,1854,random,5946355,,"Blake, Emma M.",Charleston;Privately printed for D. Blake;1854,,Reliquae,,,,,,,f,us,,,
loc.ark+=13960=t1gj02d1m,1854,1854,1854,random,9596027,,"Hewitt, Mary E.","New York;Lamport, Blakeman & Law;1854.",,Poems,,,,,,1807,f,us,,,
mdp.39015028372848,1879,1879,1853,random,1725528,,Kālidāsa.,London;Trübner & co.;1879.,,The birth of the war-god,,,,,,1826,m,uk,"Trans Griffith, Ralph",Trans of Indian epic; birth date is translator,
uc2.ark+=13960=t45q4rv9v,1853,1853,1853,reviewed,8663989,3200322,"Smith, Alexander,","Boston;Ticknor, Reed, and Fields;1853.",,Poems,rev,,,1856,ER,1829,m,uk,,spasmodic,
inu.39000001277370,1858,1858,1853,random,6060098,,"Hollingsworth, Alfred Johnstone,",London;Skeet;1858,,The poetical works of the late Alfred Johnstone Hollingsworth,,,,,,1818,m,uk,,,
loc.ark+=13960=t1jh41981,1853,1853,1853,random,9601954,,"Buchanan, William B.","Baltimore;Murphy & Co., Printers;1853.",,"Baltimore, or, Long, long time ago",,,,,,,m,us,,,
nyp.33433075824668,1853,1853,1853,random,8656458,,"Hagen, John Cole.","New York;Cornish, Lamport & Co.;1853.",,"Foot-prints of truth; or, Voice of humanity",,,,,,,m,us,,,
loc.ark+=13960=t3417h040,1853,1853,1853,random,9561834,,"Gould, Hannah F[lagg],","Boston;Crosby, Nichols, & co.;1853.",,"The mother's dream, and other poems",,,,,,1789,f,us,,,
uc1.b167470,1853,1853,1853,reviewed,1425769,1494125,"Arnold, Edwin,",Oxford;Francis Macpherson;1853.,,"Poems, narrative and lyrical",rev,,,1853,WR,1832,m,uk,,,
uc2.ark+=13960=t5n877k3f,1853,1853,1853,reviewed,119922,1744960,"Dobell, Sydney,","London;Smith, Elder and co.; [etc., etc.;1854 [i.e. 1853",,Balder,rev,neg,,1854,WR,1824,m,uk,,, 
njp.32101073982710,1853,1853,1853,reviewed,7469047,7951177,"Browning, Elizabeth Barrett,",London;Chapman & Hall;1853.,v.2,Poems,rev,,,1857,WR,1806,f,uk,,,y
loc.ark+=13960=t3cz3sw3f,1856,1856,1852,random,9605281,,"Truesdell, Helen.",Cincinnati;E. Morgan;1856.,,Poems,,,,,,1820,f,us,,,
nyp.33433074899968,1852,1852,1852,random,8663331,,"MacLean, Anna Jane.",Dublin;J. McGlashan;1852.,,Eman More,,,,,,1793,f,ir,,,
uc1.b158313,1852,1852,1852,reviewed,6636088,5046801,"Boker, George H.",Philadelphia;A. Hart;1852.,,The Podesta's Daughter,rev,pos,,1852,GrM,1823,m,us,,,
nyp.33433074858238,1851,1851,1851,reviewed,8663222,549887,"Browning, Elizabeth Barrett,",New York;C. S. Francis;Boston;J. H. Francis;1851.,,"Prometheus bound, and other poems;",rev,,,1840,QR,1806,f,uk,,,y
uc2.ark+=13960=t2h70bw5m,1851,1851,1851,random,1187558,,"Tuckerman, Henry T.","Boston;Ticknor, Reed, and Fields;1851.",,Poems,,,,,,1813,m,us,,,
